pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
8.78627,3.16,,,1.184,,Transit
57.10412,5.61,,,0.971,,Transit
57.1050077,5.93946,,5816.0,0.97,,Transit
20.21535,2.61,,,0.971,,Transit
39.3266,3.57,,,1.346,,Transit
7.64514,6.5,,,1.06,,Transit
46.47688,62.0,,,2.394,,Transit
,12.32,,,1.698,,Transit
6.73511,3.9,,,1.167,,Transit
6.73572,,,5740.0,1.17,,Transit
15.1563,3.01,,,1.167,,Transit
13.26773,4.04,,,0.813,,Transit
7.14238,1.75,,,0.679,,Transit
40.938,3.57,,,1.083,,Transit
10.22657,2.71,,,0.681,,Transit
10.228,,,4081.0,0.456,,Transit
3.91764,2.94,,,1.35,,Transit
6.4063,0.888,,,0.195,,Transit
31.9761,3.92,,,1.461,,Transit
17.78804,2.78,,,1.153,,Transit
2.52894,1.44,,,0.962,,Transit
3.137611,,,3579.0,0.452762,0.5,Transit
,7.51,,,1.249,,Transit
20.6714,1.47,,,0.655,,Transit
24.2747,1.56,,,0.424,,Transit
4.27681,2.27,,,0.938,,Transit
13.16121,2.62,,,0.938,,Transit
21.0858,2.95,,,0.938,,Transit
30.2894,2.33,,,0.938,,Transit
1.82876,1.46,,,0.938,,Transit
4.52905,1.85,,,0.773,,Transit
4.528598,1.49,,5106.0,0.78,0.84,Transit
26.2678,2.6,,,0.773,,Transit
26.27057,2.23,,5106.0,0.78,0.84,Transit
6.13174,1.72,,,0.773,,Transit
6.131243,1.33,,5106.0,0.78,0.84,Transit
4.9234,1.18,,,0.776,,Transit
2.6017,1.47,,,0.839,,Transit
6.16596,,,5882.0,1.3,,Transit
11.8951,,,5040.0,0.68,,Transit
11.82469,,,4975.0,0.79,,Transit
8.04473,,,4975.0,0.79,,Transit
6.39595,,,3972.0,0.68,,Transit
8.6387,,,5120.0,0.647,,Transit
3.98547,,,4256.0,0.72,,Transit
13.9145,,,6640.0,1.6,,Transit
4.03776,,,4689.0,0.58,,Transit
10.41144,,,5540.0,1.12,,Transit
10.413181,2.352,,5678.0,1.071,0.881,Transit
5.09582,,,4490.0,0.58,,Transit
5.095717,1.692,,4938.0,0.631,0.478,Transit
5.0957983,1.92318,,4197.0,0.7,,Transit
